iter	nb_kernel	alpha	layer
39000	128	0	5
40000	128	0	5
41000	128	0	5
42000	128	0	5
43000	128	0	5
44000	128	0	5
45000	128	0	5
46000	128	0	5
47000	128	0	5
48000	128	0	5
49000	128	0	5
50000	128	0	5
100	128	0.0001	5
1000	128	0.0001	5
2000	128	0.0001	5
3000	128	0.0001	5
4000	128	0.0001	5
5000	128	0.0001	5
6000	128	0.0001	5
7000	128	0.0001	5
8000	128	0.0001	5
9000	128	0.0001	5
10000	128	0.0001	5
11000	128	0.0001	5
12000	128	0.0001	5
13000	128	0.0001	5
14000	128	0.0001	5
15000	128	0.0001	5
16000	128	0.0001	5
17000	128	0.0001	5
18000	128	0.0001	5
19000	128	0.0001	5
20000	128	0.0001	5
21000	128	0.0001	5
22000	128	0.0001	5
23000	128	0.0001	5
24000	128	0.0001	5
25000	128	0.0001	5
26000	128	0.0001	5
27000	128	0.0001	5
28000	128	0.0001	5
29000	128	0.0001	5
30000	128	0.0001	5
31000	128	0.0001	5
32000	128	0.0001	5
33000	128	0.0001	5
34000	128	0.0001	5
35000	128	0.0001	5
36000	128	0.0001	5
37000	128	0.0001	5
38000	128	0.0001	5
39000	128	0.0001	5
40000	128	0.0001	5
41000	128	0.0001	5
42000	128	0.0001	5
43000	128	0.0001	5
44000	128	0.0001	5
45000	128	0.0001	5
46000	128	0.0001	5
47000	128	0.0001	5
48000	128	0.0001	5
49000	128	0.0001	5
50000	128	0.0001	5
100	128	0.01	5
1000	128	0.01	5
2000	128	0.01	5
3000	128	0.01	5
4000	128	0.01	5
5000	128	0.01	5
6000	128	0.01	5
7000	128	0.01	5
8000	128	0.01	5
9000	128	0.01	5
10000	127	0.01	5
11000	127	0.01	5
12000	127	0.01	5
13000	126	0.01	5
14000	125	0.01	5
15000	124	0.01	5
16000	79	0.01	5
17000	80	0.01	5
18000	77	0.01	5
19000	83	0.01	5
20000	84	0.01	5
21000	81	0.01	5
22000	77	0.01	5
23000	80	0.01	5
24000	86	0.01	5
25000	73	0.01	5
26000	83	0.01	5
27000	73	0.01	5
28000	92	0.01	5
29000	79	0.01	5
30000	81	0.01	5
31000	29	0.01	5
32000	29	0.01	5
33000	29	0.01	5
34000	35	0.01	5
35000	33	0.01	5
36000	32	0.01	5
37000	32	0.01	5
38000	30	0.01	5
39000	31	0.01	5
40000	32	0.01	5
41000	37	0.01	5
42000	31	0.01	5
43000	37	0.01	5
44000	32	0.01	5
45000	28	0.01	5
46000	24	0.01	5
47000	25	0.01	5
48000	26	0.01	5
49000	24	0.01	5
50000	27	0.01	5
100	256	0.0001	7
1000	256	0.0001	7
2000	256	0.0001	7
3000	256	0.0001	7
4000	256	0.0001	7
5000	256	0.0001	7
6000	256	0.0001	7
7000	256	0.0001	7
8000	256	0.0001	7
9000	256	0.0001	7
10000	256	0.0001	7
11000	256	0.0001	7
12000	256	0.0001	7
13000	256	0.0001	7
14000	256	0.0001	7
15000	256	0.0001	7
16000	256	0.0001	7
17000	256	0.0001	7
18000	256	0.0001	7
19000	256	0.0001	7
20000	256	0.0001	7
21000	256	0.0001	7
22000	256	0.0001	7
23000	256	0.0001	7
24000	256	0.0001	7
25000	256	0.0001	7
26000	256	0.0001	7
27000	256	0.0001	7
28000	256	0.0001	7
29000	256	0.0001	7
30000	256	0.0001	7
31000	256	0.0001	7
32000	256	0.0001	7
33000	256	0.0001	7
34000	256	0.0001	7
35000	256	0.0001	7
36000	256	0.0001	7
37000	256	0.0001	7
38000	256	0.0001	7
39000	256	0.0001	7
40000	256	0.0001	7
41000	256	0.0001	7
42000	256	0.0001	7
43000	256	0.0001	7
44000	256	0.0001	7
45000	256	0.0001	7
46000	256	0.0001	7
47000	256	0.0001	7
48000	256	0.0001	7
49000	256	0.0001	7
50000	256	0.0001	7
100	256	0.1	7
1000	256	0.1	7
2000	256	0.1	7
3000	256	0.1	7
4000	256	0.1	7
5000	256	0.1	7
6000	256	0.1	7
7000	256	0.1	7
8000	256	0.1	7
9000	256	0.1	7
10000	256	0.1	7
11000	256	0.1	7
12000	256	0.1	7
13000	256	0.1	7
14000	256	0.1	7
15000	256	0.1	7
16000	256	0.1	7
17000	256	0.1	7
18000	256	0.1	7
19000	256	0.1	7
20000	256	0.1	7
21000	256	0.1	7
22000	256	0.1	7
23000	256	0.1	7
24000	256	0.1	7
25000	256	0.1	7
26000	256	0.1	7
27000	256	0.1	7
28000	256	0.1	7
29000	256	0.1	7
30000	256	0.1	7
31000	244	0.1	7
32000	238	0.1	7
33000	240	0.1	7
34000	247	0.1	7
35000	242	0.1	7
36000	239	0.1	7
37000	243	0.1	7
38000	240	0.1	7
39000	244	0.1	7
40000	247	0.1	7
41000	244	0.1	7
42000	243	0.1	7
43000	241	0.1	7
44000	243	0.1	7
45000	245	0.1	7
46000	157	0.1	7
47000	162	0.1	7
48000	158	0.1	7
49000	155	0.1	7
50000	162	0.1	7
100	256	0.001	7
1000	256	0.001	7
2000	256	0.001	7
3000	256	0.001	7
4000	256	0.001	7
5000	256	0.001	7
6000	256	0.001	7
7000	256	0.001	7
8000	256	0.001	7
9000	256	0.001	7
10000	256	0.001	7
11000	255	0.001	7
12000	255	0.001	7
13000	254	0.001	7
14000	255	0.001	7
15000	256	0.001	7
16000	245	0.001	7
17000	245	0.001	7
18000	245	0.001	7
19000	245	0.001	7
20000	246	0.001	7
21000	246	0.001	7
22000	248	0.001	7
23000	250	0.001	7
24000	249	0.001	7
25000	250	0.001	7
26000	250	0.001	7
27000	250	0.001	7
28000	250	0.001	7
29000	250	0.001	7
30000	250	0.001	7
31000	245	0.001	7
32000	245	0.001	7
33000	245	0.001	7
34000	245	0.001	7
35000	245	0.001	7
36000	245	0.001	7
37000	244	0.001	7
38000	244	0.001	7
39000	244	0.001	7
40000	244	0.001	7
41000	244	0.001	7
42000	245	0.001	7
43000	245	0.001	7
44000	245	0.001	7
45000	244	0.001	7
46000	244	0.001	7
47000	244	0.001	7
48000	244	0.001	7
49000	244	0.001	7
50000	244	0.001	7
100	256	0	7
1000	256	0	7
2000	256	0	7
3000	256	0	7
4000	256	0	7
5000	256	0	7
6000	256	0	7
7000	256	0	7
8000	256	0	7
9000	256	0	7
10000	256	0	7
11000	256	0	7
12000	256	0	7
13000	256	0	7
14000	256	0	7
15000	256	0	7
16000	256	0	7
17000	256	0	7
18000	256	0	7
19000	256	0	7
20000	256	0	7
21000	256	0	7
22000	256	0	7
23000	256	0	7
24000	256	0	7
25000	256	0	7
26000	256	0	7
27000	256	0	7
28000	256	0	7
29000	256	0	7
30000	256	0	7
31000	256	0	7
32000	256	0	7
33000	256	0	7
34000	256	0	7
35000	256	0	7
36000	256	0	7
37000	256	0	7
38000	256	0	7
39000	256	0	7
40000	256	0	7
41000	256	0	7
42000	256	0	7
43000	256	0	7
44000	256	0	7
45000	256	0	7
46000	256	0	7
47000	256	0	7
48000	256	0	7
49000	256	0	7
50000	256	0	7
100	256	0.01	7
1000	256	0.01	7
2000	256	0.01	7
3000	256	0.01	7
4000	256	0.01	7
5000	255	0.01	7
6000	255	0.01	7
7000	250	0.01	7
8000	244	0.01	7
9000	235	0.01	7
10000	223	0.01	7
11000	213	0.01	7
12000	196	0.01	7
13000	189	0.01	7
14000	184	0.01	7
15000	174	0.01	7
16000	85	0.01	7
17000	86	0.01	7
18000	95	0.01	7
19000	85	0.01	7
20000	91	0.01	7
21000	92	0.01	7
22000	86	0.01	7
23000	83	0.01	7
24000	89	0.01	7
25000	90	0.01	7
26000	91	0.01	7
27000	82	0.01	7
28000	91	0.01	7
29000	90	0.01	7
30000	90	0.01	7
31000	54	0.01	7
32000	54	0.01	7
33000	54	0.01	7
34000	56	0.01	7
35000	55	0.01	7
36000	56	0.01	7
37000	57	0.01	7
38000	56	0.01	7
39000	55	0.01	7
40000	57	0.01	7
41000	56	0.01	7
42000	54	0.01	7
43000	57	0.01	7
44000	55	0.01	7
45000	55	0.01	7
46000	50	0.01	7
47000	50	0.01	7
48000	50	0.01	7
49000	51	0.01	7
50000	50	0.01	7
100	128	0	4
1000	128	0	4
2000	128	0	4
3000	128	0	4
4000	128	0	4
5000	128	0	4
6000	128	0	4
7000	128	0	4
8000	128	0	4
9000	128	0	4
10000	128	0	4
11000	128	0	4
12000	128	0	4
13000	128	0	4
14000	128	0	4
15000	128	0	4
16000	128	0	4
17000	128	0	4
18000	128	0	4
19000	128	0	4
20000	128	0	4
21000	128	0	4
