Layer_num	sz	alpha	tau_e-0	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
1	14	-2.00	0	0	0	0	0	0
1	15	-2.00	0	0	0	0	1	0
1	16	-2.00	0	0	0	0	1	0
1	17	-2.00	0	0	0	0	1	0
1	18	-2.00	0	0	0	0	3	0
1	19	-2.00	0	5	0	0	1	0
1	20	-2.00	32	27	7	7	0	0
2	0	-2.00	0	0	5	5	8	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	1	0
2	3	-2.00	0	0	0	0	4	0
2	4	-2.00	0	0	0	0	4	0
2	5	-2.00	0	0	0	0	3	0
2	6	-2.00	0	0	0	0	1	0
2	7	-2.00	0	0	0	0	2	0
2	8	-2.00	0	0	0	1	4	0
2	9	-2.00	0	0	0	0	0	0
2	10	-2.00	0	0	0	0	2	0
2	11	-2.00	0	0	0	0	1	0
2	12	-2.00	0	0	0	0	1	0
2	13	-2.00	0	0	0	0	1	0
2	14	-2.00	0	0	0	0	0	0
2	15	-2.00	0	0	0	0	0	0
2	16	-2.00	0	0	0	1	0	0
2	17	-2.00	0	0	0	3	0	0
2	18	-2.00	0	0	0	5	0	0
2	19	-2.00	0	0	0	9	0	0
2	20	-2.00	32	32	27	8	0	0
0	0	-3.00	0	18	19	19	19	23
0	1	-3.00	0	0	0	0	0	1
0	2	-3.00	0	0	0	0	0	0
0	3	-3.00	0	0	0	0	0	0
0	4	-3.00	0	0	0	0	0	1
0	5	-3.00	0	0	0	0	0	2
0	6	-3.00	0	0	0	0	0	3
0	7	-3.00	0	0	0	0	0	2
0	8	-3.00	0	0	0	0	0	0
0	9	-3.00	0	1	0	0	0	0
0	10	-3.00	0	0	0	0	1	0
0	11	-3.00	0	0	0	0	0	0
0	12	-3.00	0	0	0	0	0	0
0	13	-3.00	0	0	0	0	1	0
0	14	-3.00	0	0	0	0	0	0
0	15	-3.00	0	0	0	0	1	0
0	16	-3.00	0	0	0	0	3	0
0	17	-3.00	0	0	0	1	2	0
0	18	-3.00	0	0	0	0	1	0
0	19	-3.00	0	0	0	1	2	0
0	20	-3.00	32	13	13	11	2	0
1	0	-3.00	0	0	23	23	23	23
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	1
1	3	-3.00	0	0	0	0	0	0
1	4	-3.00	0	0	0	0	0	0
1	5	-3.00	0	0	0	0	0	0
1	6	-3.00	0	0	0	0	0	2
1	7	-3.00	0	0	0	0	0	0
1	8	-3.00	0	0	0	0	0	2
1	9	-3.00	0	0	0	0	0	2
1	10	-3.00	0	0	0	0	0	2
1	11	-3.00	0	0	0	0	0	0
1	12	-3.00	0	0	0	0	0	0
1	13	-3.00	0	0	0	0	0	0
1	14	-3.00	0	0	0	0	0	0
1	15	-3.00	0	0	0	0	0	0
1	16	-3.00	0	0	0	0	0	0
1	17	-3.00	0	0	0	0	0	0
1	18	-3.00	0	0	0	0	0	0
1	19	-3.00	0	4	0	0	0	0
1	20	-3.00	32	28	9	9	9	0
2	0	-3.00	0	0	0	0	0	31
2	1	-3.00	0	0	0	0	0	1
2	2	-3.00	0	0	0	0	1	0
2	3	-3.00	0	0	0	0	1	0
2	4	-3.00	0	0	0	0	0	0
2	5	-3.00	0	0	0	0	1	0
2	6	-3.00	0	0	0	0	1	0
2	7	-3.00	0	0	0	0	0	0
2	8	-3.00	0	0	0	0	2	0
2	9	-3.00	0	0	0	0	1	0
2	10	-3.00	0	0	0	1	1	0
2	11	-3.00	0	0	0	0	1	0
2	12	-3.00	0	0	0	0	0	0
2	13	-3.00	0	0	0	0	0	0
2	14	-3.00	0	0	0	1	4	0
2	15	-3.00	0	0	0	0	7	0
2	16	-3.00	0	0	0	0	4	0
2	17	-3.00	0	0	0	1	3	0
2	18	-3.00	0	0	0	1	2	0
2	19	-3.00	0	0	0	5	3	0
2	20	-3.00	32	32	32	23	0	0
0	0	-4.00	0	8	8	8	8	8
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	0
0	5	-4.00	0	0	0	0	0	0
0	6	-4.00	0	0	0	0	0	0
0	7	-4.00	0	0	0	0	0	2
0	8	-4.00	0	0	0	0	0	1
0	9	-4.00	0	0	0	0	0	0
0	10	-4.00	0	0	0	0	0	1
0	11	-4.00	0	0	0	0	0	3
0	12	-4.00	0	0	0	0	0	2
0	13	-4.00	0	0	0	0	0	2
0	14	-4.00	0	0	0	0	0	1
0	15	-4.00	0	0	0	0	1	2
0	16	-4.00	0	0	0	0	0	3
0	17	-4.00	0	0	0	0	0	4
0	18	-4.00	0	0	0	0	0	1
0	19	-4.00	0	0	0	1	1	2
0	20	-4.00	32	24	24	23	22	0
1	0	-4.00	0	0	19	19	19	19
1	1	-4.00	0	0	0	0	0	0
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	0
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	0	0	0	0	0	0
1	6	-4.00	0	0	0	0	0	0
1	7	-4.00	0	0	0	0	0	0
1	8	-4.00	0	0	0	0	0	0
1	9	-4.00	0	0	0	0	0	0
1	10	-4.00	0	0	0	0	0	0
1	11	-4.00	0	0	0	0	0	1
1	12	-4.00	0	0	0	0	0	1
1	13	-4.00	0	0	0	0	0	1
1	14	-4.00	0	0	0	0	0	1
1	15	-4.00	0	0	0	0	0	0
1	16	-4.00	0	0	0	0	0	1
1	17	-4.00	0	0	0	0	0	1
1	18	-4.00	0	0	0	0	0	0
1	19	-4.00	0	0	0	0	1	6
1	20	-4.00	32	32	13	13	12	1
2	0	-4.00	0	0	0	0	0	0
2	1	-4.00	0	0	0	0	0	6
2	2	-4.00	0	0	0	0	0	8
2	3	-4.00	0	0	0	0	0	6
2	4	-4.00	0	0	0	0	0	5
2	5	-4.00	0	0	0	0	0	0
2	6	-4.00	0	0	0	0	0	3
2	7	-4.00	0	0	0	0	0	2
2	8	-4.00	0	0	0	0	0	2
2	9	-4.00	0	0	0	0	0	0
2	10	-4.00	0	0	0	0	0	0
2	11	-4.00	0	0	0	0	0	0
2	12	-4.00	0	0	0	0	0	0
2	13	-4.00	0	0	0	0	0	0
2	14	-4.00	0	0	0	0	0	0
2	15	-4.00	0	0	0	0	1	0
2	16	-4.00	0	0	0	0	1	0
2	17	-4.00	0	0	0	0	2	0
2	18	-4.00	0	0	0	0	0	0
2	19	-4.00	0	0	0	0	11	0
2	20	-4.00	32	32	32	32	17	0
